year,month,day,mean_wind_speed,rainfall,solar_radiation,evaporation,
2005,1,1,7.4,5.5,7.28,2.3,
2005,1,2,7.9,23.6,3.29,1.0,
2005,1,3,5.2,12.4,10.14,1.5,
2005,1,4,4.5,8.1,8.87,2.7,
2005,1,5,6.2,0.1,-1.11,3.3,
2005,1,6,5.2,0.2,15.81,4.4,
2005,1,7,3.5,93.6,12.58,-1.1,
2005,1,8,4.4,6.1,4.46,0.8,
2005,1,9,5.8,0.3,19.38,3.6,
2005,1,10,4.9,-33.3,8.26,3.7,
2005,1,11,4.7,0.0,13.24,3.2,
2005,1,12,5.3,0.5,17.21,3.3,
2005,1,13,5.4,0.0,-1.11,4.3,
2005,1,14,4.9,8.1,21.70,4.9,
2005,1,15,5.9,-33.3,19.76,3.3,
2005,1,16,6.0,5.8,19.34,4.3,
2005,1,17,5.9,-33.3,9.99,3.0,
2005,1,18,5.4,-33.3,19.81,4.8,
2005,1,19,4.7,0.0,18.74,5.8,
2005,1,20,4.5,0.0,-1.11,4.1,
2005,1,21,3.1,-33.3,20.14,3.8,
2005,1,22,4.8,0.0,-1.11,4.3,
2005,1,23,5.4,0.0,23.04,5.7,
2005,1,24,4.7,0.0,23.09,4.5,
2005,1,25,3.5,0.0,23.52,5.3,
2005,1,26,2.2,0.0,25.59,4.2,
2005,1,27,2.2,0.0,25.19,3.2,
2005,1,28,3.1,0.0,15.36,3.3,
2005,1,29,2.7,0.0,23.38,3.9,
2005,1,30,2.7,0.0,22.19,4.8,
2005,1,31,2.8,0.0,22.36,3.3,
2005,2,1,3.4,0.0,24.35,5.5,
2005,2,2,2.7,0.0,22.05,4.1,
2005,2,3,2.5,-33.3,21.36,3.3,
2005,2,4,3.7,0.0,23.22,5.4,
2005,2,5,4.3,0.0,25.76,5.2,
2005,2,6,3.2,0.0,25.69,4.4,
2005,2,7,3.2,0.0,24.59,4.8,
2005,2,8,3.9,0.0,24.33,5.4,
2005,2,9,3.4,0.0,24.28,4.9,
2005,2,10,4.6,0.0,25.68,4.7,
2005,2,11,5.2,0.0,22.55,3.8,
2005,2,12,4.9,0.0,19.03,4.9,
2005,2,13,4.5,0.0,24.22,5.2,
2005,2,14,3.3,0.0,25.26,4.8,
2005,2,15,3.3,0.0,24.83,4.1,
2005,2,16,3.0,0.0,24.77,5.1,
2005,2,17,3.0,0.0,23.27,4.8,
2005,2,18,2.7,0.0,20.62,3.5,
2005,2,19,3.7,0.0,25.55,4.9,
2005,2,20,5.5,0.0,24.06,4.2,
2005,2,21,5.6,0.0,26.13,6.1,
2005,2,22,5.2,0.0,25.37,6.0,
2005,2,23,4.4,0.0,24.38,6.2,
2005,2,24,3.0,0.0,23.23,4.4,
2005,2,25,2.5,0.0,22.44,4.3,
2005,2,26,2.0,12.4,16.93,4.0,
2005,2,27,2.4,0.0,18.84,4.0,
2005,2,28,2.8,0.0,23.07,4.4,
2005,3,1,3.2,0.0,-1.11,5.0,
2005,3,2,3.1,4.6,21.74,5.2,
2005,3,3,3.9,-33.3,21.71,5.5,
2005,3,4,5.0,0.0,25.88,6.5,
2005,3,5,6.3,18.4,19.55,4.8,
2005,3,6,6.8,11.1,11.99,3.0,
2005,3,7,6.7,0.0,22.25,5.3,
2005,3,8,4.7,0.0,25.50,5.4,
2005,3,9,4.0,0.0,24.19,5.2,
2005,3,10,2.9,0.0,24.79,4.7,
2005,3,11,2.3,0.0,23.74,4.5,
2005,3,12,2.0,0.0,20.89,4.9,
2005,3,13,2.3,0.0,22.89,4.7,
2005,3,14,3.6,2.0,24.77,5.7,
2005,3,15,4.9,4.6,20.97,4.2,
2005,3,16,5.1,0.0,21.76,4.1,
2005,3,17,4.7,9.7,18.87,4.7,
2005,3,18,5.8,0.0,21.99,6.1,
2005,3,19,5.5,0.0,25.27,5.6,
2005,3,20,3.1,0.0,22.32,5.1,
2005,3,21,3.1,0.0,21.59,5.1,
2005,3,22,2.5,-33.3,21.60,4.1,
2005,3,23,2.2,0.0,23.18,4.8,
2005,3,24,2.2,0.0,20.33,4.2,
2005,3,25,3.2,0.0,23.29,5.5,
2005,3,26,2.7,0.4,22.48,5.4,
2005,3,27,2.2,0.0,22.70,5.3,
2005,3,28,1.5,6.7,18.19,3.9,
2005,3,29,1.8,5.2,18.03,3.3,
2005,3,30,1.9,-33.3,-1.11,3.4,
2005,3,31,1.0,0.6,6.29,3.5,
2005,4,1,2.3,11.4,24.41,8.1,
2005,4,2,2.0,4.8,13.51,7.8,
2005,4,3,3.4,6.8,22.09,4.1,
2005,4,4,2.1,18.8,7.01,3.0,
2005,4,5,2.5,33.8,5.89,3.5,
2005,4,6,3.1,0.0,17.16,5.3,
2005,4,7,2.7,0.0,22.75,3.1,
2005,4,8,2.2,14.4,16.35,3.0,
2005,4,9,1.8,-33.3,14.26,1.9,
2005,4,10,2.4,0.0,23.01,3.5,
2005,4,11,2.0,24.8,16.40,3.2,
